"Name","Team","POS","PTS","PTS/G","GP","CMP","YDS","TD","INT","ATT","YDS","TD","FUM","TGT","REC","YDS","TD"
"Christian McCaffrey","SF","RB","416.6","24.5","17","0","0","0","0","311","1202","10","0","129","102","924","7"
"Puka Nacua","LAR","WR","375","23.4","16","0","0","0","0","10","105","1","1","166","129","1715","10"
"Bijan Robinson","ATL","RB","370.8","21.8","17","0","0","0","0","287","1478","7","3","103","79","820","4"
"Jahmyr Gibbs","DET","RB","366.9","21.6","17","0","0","0","0","243","1223","13","1","94","77","616","5"
"Josh Allen","BUF","QB","364.6","21.4","17","319","3668","25","10","112","579","14","3","0","0","0","0"
"Jonathan Taylor","IND","RB","362.3","21.3","17","0","0","0","0","323","1585","18","1","55","46","378","2"
"Jaxon Smith-Njigba","SEA","WR","359.9","21.2","17","0","0","0","0","7","36","0","1","163","119","1793","10"
"Drake Maye","NE","QB","350.8","20.6","17","354","4394","31","8","103","450","4","3","1","1","2","0"
"Matthew Stafford","LAR","QB","350.4","20.6","17","388","4707","46","8","29","1","0","3","0","0","0","0"
"Trevor Lawrence","JAX","QB","338.2","19.9","17","341","4007","29","12","82","359","9","3","0","0","0","0"
"Amon-Ra St. Brown","DET","WR","324","19.1","17","0","0","0","0","3","9","0","0","172","117","1401","11"
"De'Von Achane","MIA","RB","322.8","20.2","16","0","0","0","0","238","1350","8","0","85","67","488","4"
"Trey McBride","ARI","TE","315.9","18.6","17","0","0","0","0","0","0","0","0","169","126","1239","11"
"Dak Prescott","DAL","QB","313.8","18.5","17","404","4552","30","10","53","177","2","2","0","0","0","0"
"Ja'Marr Chase","CIN","WR","313.6","19.6","16","0","0","0","0","3","14","0","1","185","125","1412","8"
"Caleb Williams","CHI","QB","308","18.1","17","330","3942","27","7","77","383","3","1","2","2","22","1"
"Bo Nix","DEN","QB","304.8","17.9","17","388","3931","25","11","83","356","5","2","1","0","0","0"
"James Cook","BUF","RB","302.2","17.8","17","0","0","0","0","309","1621","12","3","40","33","291","2"
"Jalen Hurts","PHI","QB","299.1","18.7","16","294","3224","25","6","105","421","8","4","0","0","0","0"
"Jared Goff","DET","QB","297.1","17.5","17","393","4564","34","8","19","45","0","5","0","0","0","0"
"George Pickens","DAL","WR","291.9","17.2","17","0","0","0","0","0","0","0","0","137","93","1429","9"
"Justin Herbert","LAC","QB","286.9","17.9","16","340","3727","26","13","83","498","2","2","0","0","0","0"
"Patrick Mahomes","KC","QB","285.7","20.4","14","315","3587","22","11","64","422","5","0","1","1","-10","0"
"Chase Brown","CIN","RB","282.6","16.6","17","0","0","0","0","232","1019","6","0","88","69","437","5"
"Derrick Henry","BAL","RB","279.5","16.4","17","0","0","0","0","307","1595","16","3","21","15","150","0"
"Baker Mayfield","TB","QB","271.9","16","17","343","3693","26","11","55","382","1","3","0","0","0","0"
"Chris Olave","NO","WR","270","16.9","16","0","0","0","1","1","-3","0","0","156","100","1163","9"
"Kyren Williams","LAR","RB","263.3","15.5","17","0","0","0","0","259","1252","10","2","50","36","281","3"
"Travis Etienne Jr.","JAX","RB","253.9","14.9","17","0","0","0","0","260","1107","7","0","52","36","292","6"
"Ashton Jeanty","LV","RB","245.1","14.4","17","0","0","0","0","266","975","5","1","73","55","346","5"
"Zay Flowers","BAL","WR","243.3","14.3","17","0","0","0","0","10","62","1","3","118","86","1211","5"
"Javonte Williams","DAL","RB","242.8","15.2","16","0","0","0","0","252","1201","11","2","51","35","137","2"
"Jaxson Dart","NYG","QB","241.6","17.3","14","216","2272","15","5","86","487","9","2","0","0","0","0"
"Josh Jacobs","GB","RB","237.1","15.8","15","0","0","0","0","234","929","13","2","44","36","282","1"
"Sam Darnold","SEA","QB","235.4","13.8","17","323","4048","25","14","35","95","0","6","0","0","0","0"
"Jordan Love","GB","QB","235.1","15.7","15","291","3381","23","6","47","199","0","2","0","0","0","0"
"Saquon Barkley","PHI","RB","232.3","14.5","16","0","0","0","0","280","1140","7","1","50","37","273","2"
"D'Andre Swift","CHI","RB","228.6","14.3","16","0","0","0","0","223","1087","9","2","48","34","299","1"
"Jacoby Brissett","ARI","QB","227.4","16.2","14","315","3366","23","8","38","168","1","4","0","0","0","0"
"Aaron Rodgers","PIT","QB","227","14.2","16","327","3322","24","7","21","61","1","1","1","1","-9","0"
"Daniel Jones","IND","QB","226.4","17.4","13","261","3101","19","8","45","164","5","3","0","0","0","0"
"Nico Collins","HOU","WR","226.2","15.1","15","0","0","0","0","2","15","1","1","120","71","1117","6"
"Davante Adams","LAR","WR","222.9","15.9","14","0","0","0","0","0","0","0","0","114","60","789","14"
"Kenneth Gainwell","PIT","RB","221.3","13","17","0","0","0","0","114","537","5","1","85","73","486","3"
"Michael Wilson","ARI","WR","220.6","13","17","0","0","0","0","0","0","0","0","126","78","1006","7"
"A.J. Brown","PHI","WR","220.3","14.7","15","0","0","0","0","0","0","0","0","121","78","1003","7"
"Jameson Williams","DET","WR","219.9","12.9","17","0","0","0","0","6","12","0","0","101","65","1117","7"
"Courtland Sutton","DEN","WR","219.7","12.9","17","0","0","0","0","0","0","0","0","124","74","1017","7"
"Bryce Young","CAR","QB","218","13.6","16","304","3011","23","11","54","216","2","4","0","0","0","0"
"Wan'Dale Robinson","NYG","WR","217.9","13.6","16","0","0","0","0","3","5","0","0","140","92","1014","4"
"Jaylen Warren","PIT","RB","217.1","13.6","16","0","0","0","0","211","958","6","0","45","40","333","2"
"Rico Dowdle","CAR","RB","216.3","12.7","17","0","0","0","0","236","1076","6","1","50","39","297","1"
"Lamar Jackson","BAL","QB","214.9","16.5","13","192","2549","21","7","67","349","2","3","0","0","0","0"
"Tee Higgins","CIN","WR","211.6","14.1","15","0","0","0","0","0","0","0","0","98","59","846","11"
"Tetairoa McMillan","CAR","WR","211.4","12.4","17","0","0","0","0","0","0","0","1","122","70","1014","7"
"Kyle Pitts Sr.","ATL","TE","210.8","12.4","17","0","0","0","0","0","0","0","0","118","88","928","5"
"Stefon Diggs","NE","WR","210.3","12.4","17","0","0","0","0","0","0","0","0","102","85","1013","4"
"C.J. Stroud","HOU","QB","208.5","14.9","14","273","3041","19","8","48","209","1","0","0","0","0","0"
"RJ Harvey","DEN","RB","206.6","12.2","17","0","0","0","0","146","540","7","1","58","47","356","5"
"TreVeyon Henderson","NE","RB","206.2","12.1","17","0","0","0","0","180","911","9","1","42","35","221","1"
"Breece Hall","NYJ","RB","203.5","12.7","16","1","4","1","0","243","1065","4","2","48","36","350","1"
"Michael Pittman Jr.","IND","WR","202.4","11.9","17","0","0","0","0","0","0","0","0","111","80","784","7"
"Drake London","ATL","WR","201.9","16.8","12","0","0","0","0","0","0","0","1","112","68","919","7"
"DeVonta Smith","PHI","WR","201.8","11.9","17","0","0","0","0","0","0","0","0","113","77","1008","4"
"Justin Jefferson","MIN","WR","201.5","11.9","17","0","0","0","0","2","7","0","0","141","84","1048","2"
"CeeDee Lamb","DAL","WR","200.9","14.3","14","0","0","0","0","1","2","0","0","117","75","1077","3"
"Emeka Egbuka","TB","WR","195.7","11.5","17","0","0","0","0","2","9","0","0","127","63","938","6"
"Jaylen Waddle","MIA","WR","193.8","12.1","16","1","8","0","0","2","28","0","0","100","64","910","6"
"Travis Kelce","KC","TE","193.2","11.4","17","0","0","0","0","1","1","0","0","108","76","851","5"
"Kenneth Walker III","SEA","RB","191.9","11.3","17","0","0","0","0","221","1027","5","0","36","31","282","0"
"Tyler Warren","IND","TE","188.5","11.1","17","0","0","0","0","6","8","1","0","112","76","817","4"
"Deebo Samuel Sr.","WAS","WR","188.2","11.8","16","0","0","0","0","17","75","1","0","99","72","727","5"
"Jake Ferguson","DAL","TE","188.1","11.1","17","0","0","0","0","1","1","0","2","102","82","600","8"
"DK Metcalf","PIT","WR","187.2","12.5","15","0","0","0","0","2","12","1","0","99","59","850","6"
"Cameron Ward","TEN","QB","186.7","11","17","323","3169","15","7","39","159","2","7","0","0","0","0"
"Harold Fannin Jr.","CLE","TE","186.4","11.6","16","0","0","0","0","7","13","1","1","107","72","731","6"
"Tony Pollard","TEN","RB","185.8","10.9","17","0","0","0","0","242","1082","5","3","41","33","206","0"
"Dallas Goedert","PHI","TE","185.1","12.3","15","0","0","0","0","0","0","0","0","82","60","591","11"
"Alec Pierce","IND","WR","183.3","12.2","15","0","0","0","0","0","0","0","0","84","47","1003","6"
"Keenan Allen","LAC","WR","182.7","10.7","17","0","0","0","0","0","0","0","0","122","81","777","4"
"Zach Charbonnet","SEA","RB","181.4","11.3","16","0","0","0","0","184","730","12","0","24","20","144","0"
"Ladd McConkey","LAC","WR","180.9","11.3","16","0","0","0","0","0","0","0","0","107","66","789","6"
"Juwan Johnson","NO","TE","179.9","10.6","17","0","0","0","0","0","0","0","2","102","77","889","3"
"Hunter Henry","NE","TE","178.8","10.5","17","0","0","0","0","0","0","0","0","87","60","768","7"
"Rhamondre Stevenson","NE","RB","178.8","12.8","14","0","0","0","0","130","603","7","3","37","32","345","2"
"Dalton Schultz","HOU","TE","177.7","10.5","17","0","0","0","0","0","0","0","0","106","82","777","3"
"Brock Purdy","SF","QB","177.4","19.7","9","197","2167","20","10","33","147","3","2","0","0","0","0"
"Troy Franklin","DEN","WR","177.1","10.4","17","0","0","0","0","5","12","0","1","104","65","709","6"
"Brock Bowers","LV","TE","176.2","14.7","12","0","0","0","0","2","2","0","0","86","64","680","7"
"Jakobi Meyers","LV","WR","175.8","11","16","0","0","0","0","5","13","0","1","110","75","835","3"
"Geno Smith","LV","QB","173.9","11.6","15","302","3025","19","17","41","109","0","1","0","0","0","0"
"Jauan Jennings","SF","WR","173.3","11.6","15","0","0","0","0","0","0","0","1","90","55","643","9"
"Parker Washington","JAX","WR","172.7","10.8","16","0","0","0","0","7","0","0","0","95","58","847","5"
"Quentin Johnston","LAC","WR","171.2","12.2","14","0","0","0","0","2","7","0","1","84","51","735","8"
"Quinshon Judkins","CLE","RB","169.8","12.1","14","0","0","0","0","230","827","7","0","36","26","171","0"
"Khalil Shakir","BUF","WR","166.4","10.4","16","0","0","0","0","1","5","0","1","95","72","719","4"
"DJ Moore","CHI","WR","166.1","9.8","17","1","2","1","0","15","79","1","1","85","50","682","6"
"Romeo Doubs","GB","WR","165.4","10.3","16","0","0","0","0","0","0","0","0","85","55","724","6"
"Colston Loveland","CHI","TE","165.1","10.3","16","0","0","0","0","1","-2","0","0","81","58","713","6"
"David Montgomery","DET","RB","162.8","9.6","17","1","3","1","0","158","716","8","1","29","24","192","0"
"Tre Tucker","LV","WR","161.7","9.5","17","0","0","0","0","11","51","0","0","92","57","696","5"
"George Kittle","SF","TE","161.5","14.7","11","0","0","0","0","1","-3","0","0","69","57","628","7"
"Tyrone Tracy Jr.","NYG","RB","160.8","10.7","15","0","0","0","0","176","740","2","1","47","36","288","2"
"Tua Tagovailoa","MIA","QB","160.7","11.5","14","260","2660","20","15","20","43","0","1","0","0","0","0"
"Tyler Shough","NO","QB","158","14.4","11","221","2384","10","6","45","186","3","2","0","0","0","0"
"Woody Marks","HOU","RB","151.1","9.4","16","0","0","0","0","196","703","3","0","36","24","208","3"
"Rashee Rice","KC","WR","150.1","18.8","8","0","0","0","0","5","20","1","0","78","53","571","5"
"AJ Barner","SEA","TE","147.3","8.7","17","0","0","0","0","10","14","1","0","68","52","519","6"
"Kyle Monangai","CHI","RB","146.7","8.6","17","0","0","0","0","169","783","5","0","30","18","164","0"
"Joe Flacco","CLE","QB","146.7","11.3","13","251","2479","15","10","21","35","1","3","0","0","0","0"
"Rome Odunze","CHI","WR","146.1","12.2","12","0","0","0","0","0","0","0","0","90","44","661","6"
"Kareem Hunt","KC","RB","145.5","8.6","17","0","0","0","0","163","612","8","1","25","18","143","1"
"Rashid Shaheed","NO","WR","144.6","8","18","0","0","0","0","9","69","0","1","92","59","687","2"
"Rachaad White","TB","RB","143","8.4","17","0","0","0","0","132","572","4","0","45","40","218","0"
"Justin Fields","NYJ","QB","142.7","15.9","9","128","1259","7","1","71","383","4","3","1","0","0","0"
"Jacory Croskey-Merritt","WAS","RB","140.3","8.3","17","0","0","0","0","175","805","8","2","13","9","68","0"
"Brian Thomas Jr.","JAX","WR","138.8","9.9","14","0","0","0","0","3","21","1","0","91","48","707","2"
"Bucky Irving","TB","RB","138.5","13.8","10","0","0","0","0","173","588","1","1","35","30","277","3"
"Marquise Brown","KC","WR","137.7","8.6","16","0","0","0","0","0","0","0","0","74","49","587","5"
"Josh Downs","IND","WR","136.4","8.5","16","0","0","0","0","2","-2","0","1","88","58","566","4"
"Omarion Hampton","LAC","RB","135.7","15.1","9","0","0","0","0","124","545","4","0","35","32","192","1"
"Jordan Addison","MIN","WR","135.1","9.7","14","0","0","0","0","2","81","1","0","79","42","610","3"
"Joe Burrow","CIN","QB","134.5","16.8","8","173","1809","17","5","14","41","0","0","0","0","0","0"
"Christian Watson","GB","WR","132.4","13.2","10","0","0","0","0","1","3","0","0","55","35","611","6"
"Oronde Gadsden","LAC","TE","131.4","8.8","15","0","0","0","0","0","0","0","1","69","49","664","3"
"Mark Andrews","BAL","TE","131","7.7","17","0","0","0","0","10","48","1","0","70","48","422","5"
"Mac Jones","SF","QB","130","11.8","11","201","2151","13","6","36","60","0","2","0","0","0","0"
"Colby Parkinson","LAR","TE","129.8","8.7","15","0","0","0","0","0","0","0","1","56","43","408","8"
"Jayden Higgins","HOU","WR","129.5","7.6","17","0","0","0","0","0","0","0","0","68","41","525","6"
"Jordan Mason","MIN","RB","128.9","8.1","16","0","0","0","0","159","758","6","1","16","14","51","0"
"Luther Burden III","CHI","WR","127.9","8.5","15","0","0","0","0","6","37","0","0","60","47","652","2"
"Theo Johnson","NYG","TE","127.8","8.5","15","0","0","0","0","0","0","0","0","74","45","528","5"
"Marvin Harrison Jr.","ARI","WR","127.8","10.7","12","0","0","0","0","0","0","0","0","73","41","608","4"
"Cam Skattebo","NYG","RB","127.7","16","8","0","0","0","0","101","410","5","1","32","24","207","2"
"Zach Ertz","WAS","TE","126.4","9.7","13","0","0","0","0","0","0","0","0","72","50","504","4"
"Dalton Kincaid","BUF","TE","126.1","10.5","12","0","0","0","0","0","0","0","0","49","39","571","5"
"Marcus Mariota","WAS","QB","125.5","11.4","11","139","1695","10","7","50","297","1","3","0","0","0","0"
"Chuba Hubbard","CAR","RB","125.4","8.4","15","0","0","0","0","134","511","1","1","39","30","223","3"
"J.J. McCarthy","MIN","QB","125.4","12.5","10","140","1632","11","12","37","181","4","2","0","0","0","0"
"Kayshon Boutte","NE","WR","124.1","8.9","14","0","0","0","0","0","0","0","0","46","33","551","6"
"Chig Okonkwo","TEN","TE","124","7.3","17","0","0","0","0","0","0","0","0","79","56","560","2"
"Tyler Allgeier","ATL","RB","123","7.2","17","0","0","0","0","143","514","8","0","16","14","96","0"
"Cade Otton","TB","TE","122.2","7.6","16","0","0","0","0","0","0","0","0","81","59","572","1"
"Blake Corum","LAR","RB","122.2","7.2","17","0","0","0","0","145","746","6","0","14","8","36","0"
"Jerry Jeudy","CLE","WR","120.7","7.1","17","0","0","0","0","1","5","0","1","106","50","602","2"
"Michael Penix Jr.","ATL","QB","120.3","13.4","9","166","1982","9","3","21","70","1","2","0","0","0","0"
"Aaron Jones Sr.","MIN","RB","118.7","9.9","12","0","0","0","0","132","548","2","1","41","28","199","1"
"Cooper Kupp","SEA","WR","118.3","7.4","16","0","0","0","1","0","0","0","1","70","47","593","2"
"Brenton Strange","JAX","TE","118","9.8","12","0","0","0","0","0","0","0","0","60","46","540","3"
"Kimani Vidal","LAC","RB","117.9","9.1","13","0","0","0","0","155","643","3","0","22","16","136","1"
"Tucker Kraft","GB","TE","117.2","14.6","8","0","0","0","0","1","3","0","0","44","32","489","6"
"Elic Ayomanor","TEN","WR","116.5","7.3","16","0","0","0","0","0","0","0","0","89","41","515","4"
"J.K. Dobbins","DEN","RB","115.9","11.6","10","0","0","0","0","153","772","4","0","14","11","37","0"
"Jayden Daniels","WAS","QB","114.3","16.3","7","114","1262","8","3","58","278","2","2","0","0","0","0"
"Terry McLaurin","WAS","WR","114.2","11.4","10","0","0","0","0","0","0","0","0","60","38","582","3"
"Chimere Dike","TEN","WR","114.1","6.7","17","0","0","0","0","11","18","0","1","74","48","423","4"
"Ryan Flournoy","DAL","WR","114","7.1","16","0","0","0","0","4","25","0","0","56","40","475","4"
"Pat Freiermuth","PIT","TE","113.6","6.7","17","0","0","0","0","0","0","0","0","54","41","486","4"
"Mack Hollins","NE","WR","113.4","7.6","15","0","0","0","0","1","4","0","0","65","46","550","2"
"T.J. Hockenson","MIN","TE","112.8","7.5","15","0","0","0","0","1","0","0","0","66","51","438","3"
"Tyjae Spears","TEN","RB","111.7","8.6","13","0","0","0","0","72","283","2","0","50","45","264","0"
"Malik Washington","MIA","WR","110.7","6.5","17","0","0","0","0","17","110","1","1","65","46","317","3"
"Xavier Worthy","KC","WR","109.9","7.9","14","0","0","0","0","11","87","0","0","73","42","532","1"
"Devin Singletary","NYG","RB","108.8","6.4","17","0","0","0","0","119","437","5","0","19","18","151","0"
"Sam LaPorta","DET","TE","106.9","11.9","9","0","0","0","0","0","0","0","0","49","40","489","3"
"Dawson Knox","BUF","TE","103.7","6.1","17","0","0","0","0","0","0","0","0","49","36","417","4"
"Kirk Cousins","ATL","QB","103.5","9.4","11","166","1721","10","5","14","7","1","1","0","0","0","0"
"Evan Engram","DEN","TE","102.8","6.4","16","0","0","0","0","1","7","0","0","76","50","461","1"
"Keon Coleman","BUF","WR","102.4","7.9","13","0","0","0","0","0","0","0","1","59","38","404","4"
"Jalen Nailor","MIN","WR","100.7","5.9","17","0","0","0","0","2","13","0","0","53","29","444","4"
"Alvin Kamara","NO","RB","100.7","9.2","11","0","0","0","0","131","471","1","2","39","33","186","0"
"Ty Johnson","BUF","RB","100.3","5.9","17","0","0","0","0","50","200","3","0","33","24","263","2"
"Garrett Wilson","NYJ","WR","99.5","14.2","7","0","0","0","0","0","0","0","0","59","36","395","4"
"Michael Carter","ARI","RB","99","7.6","13","0","0","0","0","92","333","1","0","45","33","267","0"
"Darius Slayton","NYG","WR","98.8","7.1","14","0","0","0","0","0","0","0","1","63","37","538","1"
"Spencer Rattler","NO","QB","98.1","10.9","9","174","1586","8","5","31","167","0","2","2","1","0","0"
"Xavier Hutchinson","HOU","WR","98","5.8","17","0","0","0","0","3","22","0","0","57","35","428","3"
"DeMario Douglas","NE","WR","95.8","5.6","17","0","0","0","0","7","21","0","0","46","31","447","3"
"Emanuel Wilson","GB","RB","94.5","5.6","17","0","0","0","0","125","496","3","0","17","15","99","0"
"Jake Tonges","SF","TE","93.3","5.5","17","0","0","0","0","0","0","0","0","46","34","293","5"
"Bam Knight","ARI","RB","92.9","7.7","12","0","0","0","0","82","269","4","1","31","22","160","1"
"Tez Johnson","TB","WR","92.6","5.8","16","0","0","0","0","8","24","0","0","44","28","322","5"
"Kendrick Bourne","SF","WR","92.1","5.8","16","0","0","0","0","0","0","0","0","53","37","551","0"
"Chris Rodriguez Jr.","WAS","RB","92","7.1","13","0","0","0","0","112","500","6","0","4","3","30","0"
"Gunnar Helm","TEN","TE","91.7","5.7","16","0","0","0","0","0","0","0","0","55","44","357","2"
"Sean Tucker","TB","RB","91.4","5.4","17","0","0","0","0","86","320","7","0","11","8","34","1"
"Jalen Coker","CAR","WR","90.4","8.2","11","0","0","0","0","0","0","0","1","43","33","394","3"
"Andrei Iosivas","CIN","WR","89.9","5.3","17","0","0","0","0","3","14","0","0","58","33","435","2"
"Adonai Mitchell","IND","WR","89.9","5.6","16","0","0","0","0","1","-4","0","0","74","33","453","2"
"Xavier Legette","CAR","WR","89.3","6","15","0","0","0","0","1","0","0","0","64","35","363","3"
"Mason Taylor","NYJ","TE","88.9","6.8","13","0","0","0","0","0","0","0","0","65","44","369","1"
"Darren Waller","MIA","TE","88.7","9.9","9","0","0","0","0","1","4","0","0","34","24","283","6"
"Bhayshul Tuten","JAX","RB","88.6","5.9","15","0","0","0","0","83","307","5","1","14","10","79","2"
"Ricky Pearsall","SF","WR","88.6","9.8","9","0","0","0","0","2","-2","0","0","54","36","528","0"
"Nick Chubb","HOU","RB","88.3","5.9","15","0","0","0","0","122","506","3","0","20","13","67","0"
"Dylan Sampson","CLE","RB","87.6","5.8","15","0","0","0","0","65","175","0","1","40","33","271","2"
"Isiah Pacheco","KC","RB","87.2","6.7","13","0","0","0","0","118","461","1","0","26","19","101","1"
"Marvin Mims Jr.","DEN","WR","87","5.8","15","0","0","0","0","12","78","1","1","51","37","322","1"
"David Njoku","CLE","TE","86.3","7.2","12","0","0","0","0","0","0","0","0","48","33","293","4"
"Calvin Austin III","PIT","WR","86.2","6.2","14","0","0","0","0","0","0","0","0","55","31","372","3"
"Jonnu Smith","PIT","TE","85.2","5","17","0","0","0","0","9","70","1","0","54","38","222","2"
"Shedeur Sanders","CLE","QB","84.9","10.6","8","120","1400","7","10","21","169","1","1","0","0","0","0"
"Mike Evans","TB","WR","84.8","10.6","8","0","0","0","0","0","0","0","0","61","30","368","3"
